start,end,emotion,valence,arousal,duration
504.4,511.67999999999995,neutral,-0.2392,-0.5,7.279999999999973
511.67999999999995,518.8,neutral,-0.222,-0.5,7.1200000000000045
518.8,523.68,neutral,-0.1998,-0.4956,4.8799999999999955
523.68,528.4,neutral,-0.198,-0.4547,4.720000000000027
528.4,533.76,neutral,-0.1411,-0.5,5.360000000000014
533.76,539.84,anger,-0.4662,-0.05,6.080000000000041
539.84,545.76,neutral,-0.1356,-0.5,5.919999999999959
546.48,550.48,surprise,-0.0433,-0.05,4.0
550.48,555.76,neutral,-0.2293,-0.4862,5.279999999999973
555.76,560.88,neutral,-0.2433,-0.5,5.1200000000000045
560.88,565.04,neutral,-0.1835,-0.5,4.159999999999968
565.04,571.28,neutral,-0.1558,-0.5,6.240000000000009
571.28,576.4,surprise,-0.0043,-0.05,5.1200000000000045
576.4,581.2,neutral,-0.2431,-0.5,4.800000000000068
581.2,585.36,neutral,-0.1836,-0.5,4.159999999999968
585.36,594.48,neutral,-0.1996,-0.5,9.120000000000005
